Fighter,date,H_odds,A_odds
Brian Bowles,2011-03-03,-310.0,255.0
Alessio Sakara,2011-03-03,190.0,-230.0
CB Dollaway,2011-03-03,160.0,-170.0
Diego Sanchez,2011-03-03,125.0,-135.0
Mark Munoz,2011-03-03,-170.0,160.0
Martin Kampmann,2011-03-03,-135.0,125.0
Igor Pokrajac,2011-03-03,-235.0,195.0
Erik Koch,2011-03-19,-165.0,145.0
Kamal Shalorus,2011-03-19,235.0,-255.0
Nate Marquardt,2011-03-19,-315.0,285.0
Brendan Schaub,2011-03-19,-245.0,225.0
Eliot Marshall,2011-03-19,160.0,-185.0
Anthony Njokuani,2011-03-19,220.0,-260.0
Gleison Tibau,2011-03-19,-145.0,125.0
Ian Loveland,2011-03-19,360.0,-450.0
Nick Catone,2011-03-19,-210.0,175.0
Raphael Assuncao,2011-03-19,145.0,-165.0
Eddie Wineland,2011-03-19,355.0,-400.0
Costas Philippou,2011-03-19,175.0,-210.0
Kurt Pellegrino,2011-03-19,125.0,-145.0
Ricardo Almeida,2011-03-19,-150.0,130.0
Edson Barboza,2011-03-19,-260.0,220.0
Luiz Cane,2011-03-19,-185.0,160.0
Mirko Cro Cop,2011-03-19,225.0,-245.0
Dan Miller,2011-03-19,285.0,-315.0
Jim Miller,2011-03-19,-255.0,235.0
Urijah Faber,2011-03-19,-400.0,355.0
Mauricio Rua,2011-03-19,195.0,-215.0
Joseph Benavidez,2011-03-19,-450.0,360.0
Jon Jones,2011-03-19,-215.0,195.0
Mike Pyle,2011-03-19,130.0,-150.0
Leonard Garcia,2011-03-26,105.0,-125.0
Amir Sadollah,2011-03-26,-240.0,220.0
Mike Russow,2011-03-26,250.0,-300.0
Mackens Semerzier,2011-03-26,-210.0,190.0
Kris McCray,2011-03-26,320.0,-390.0
Edwin Figueroa,2011-03-26,365.0,-460.0
Christian Morecraft,2011-03-26,-220.0,180.0
